City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,oromocto,45.8351,-66.4792,275.11,69,0,4.12,CA,1676957865
291,khatanga,71.9667,102.5,255.58,94,82,4.56,RU,1676958006
292,airai,-8.9266,125.4092,294.31,78,85,1.32,TL,1676958007
293,naze,28.3667,129.4833,287.66,61,37,7.84,JP,1676958008
294,khipro,25.8285,69.3772,303.4,17,40,2.59,PK,1676958008
295,hervey bay,-25.2986,152.8535,300.94,68,92,3.58,AU,1676958009
296,lar,26.2039,83.9717,302.51,32,21,0.97,IN,1676958009
297,elk city,35.412,-99.4043,282.53,53,0,3.6,US,1676958010
298,sabang,5.8933,95.3214,300.84,72,100,6.25,ID,1676958010
299,severnoye,56.3491,78.3619,269.51,92,99,3.51,RU,1676958011
300,langenburg,49.2544,9.8458,279.54,81,0,3.09,DE,1676958011
301,grand gaube,-20.0064,57.6608,299.37,84,69,4.02,MU,1676958012
302,boyolangu,-8.1181,111.8935,302.14,73,82,3.47,ID,1676958012
303,tlacotepec,20.0667,-97.8667,287.05,68,36,2.29,MX,1676958013
304,yining,29.0361,114.5636,287.5,42,57,2.98,CN,1676958014
305,arman,59.7,150.1667,252.22,85,9,1.72,RU,1676958014
306,havoysund,70.9963,24.6622,267.28,83,79,2.7,NO,1676958015
307,iqaluit,63.7506,-68.5145,241.31,67,20,9.26,CA,1676958015
308,rio claro,-22.4114,-47.5614,291.67,93,43,0.95,BR,1676957933
309,marietta,33.9526,-84.5499,290.43,87,0,3.09,US,1676958016
310,dingle,10.9995,122.6711,301.12,77,97,6.97,PH,1676958016
311,great yarmouth,52.6083,1.7305,282.29,96,26,3.96,GB,1676958017
312,namatanai,-3.6667,152.4333,300.67,80,91,1.95,PG,1676958018
313,tiznit,29.5833,-9.5,288.5,37,0,4.28,MA,1676958018
314,acarau,-2.8856,-40.12,297.81,86,77,4.33,BR,1676957781
315,port blair,11.6667,92.75,303.17,62,20,5.66,IN,1676958019
316,haicheng,40.8516,122.7475,271.17,29,0,1.08,CN,1676958020
317,cordoba,-31.4135,-64.1811,293.57,64,0,2.57,AR,1676957787
318,steamboat springs,40.485,-106.8317,273.92,80,100,2.06,US,1676958020
319,magdiwang,12.491,122.5135,299.17,78,100,6.16,PH,1676958021
320,mastic beach,40.7668,-72.8521,282.04,71,40,3.58,US,1676958021
321,taoudenni,22.6783,-3.9836,294.22,15,0,4.01,ML,1676958022
322,samana,19.2056,-69.3369,295.3,88,27,3.15,DO,1676958023
323,durango,24.8333,-104.8333,285.03,37,4,3.1,MX,1676958023
324,mayo,38.8876,-76.5119,285.44,70,100,2.57,US,1676958024
325,el seibo,18.7641,-69.0375,292.81,92,1,1.94,DO,1676958024
326,santa isabel,-23.3156,-46.2214,293.76,97,78,0.85,BR,1676958025
327,egvekinot,66.3167,-179.1667,258.07,96,100,1.88,RU,1676958025
328,taltal,-25.4,-70.4833,293.86,85,37,1.06,CL,1676958026
329,lisala,2.15,21.5167,298.17,41,86,0.85,CD,1676958026
330,porto novo,6.4965,2.6036,301.05,88,28,1.09,BJ,1676958027
331,quatre cocos,-20.2078,57.7625,299.21,82,60,7.55,MU,1676958028
332,cody,44.5263,-109.0565,279.27,45,0,7.2,US,1676958028
333,padang,-0.9492,100.3543,303.18,70,100,3.0,ID,1676958029
334,coos bay,43.3665,-124.2179,282.03,97,100,1.54,US,1676958029
335,khandyga,62.6667,135.6,246.33,90,96,0.8,RU,1676958030
336,dunedin,-45.8742,170.5036,288.6,88,100,5.19,NZ,1676957900
337,maningrida,-12.0667,134.2667,302.84,68,88,4.02,AU,1676958031
338,kahului,20.8947,-156.47,297.51,74,0,4.63,US,1676958326
339,chorozinho,-4.3003,-38.4978,296.09,95,97,1.1,BR,1676958031
340,batemans bay,-35.7167,150.1833,294.87,84,100,5.61,AU,1676958032
341,peniche,39.3558,-9.3811,285.07,95,38,1.06,PT,1676958032
342,sitka,57.0531,-135.33,276.09,35,0,4.12,US,1676958033
343,kon tum,14.35,108.0,303.53,30,90,4.15,VN,1676958033
344,coihaique,-45.5752,-72.0662,285.12,58,0,1.54,CL,1676958034
345,semey,50.4111,80.2275,269.27,74,40,6.0,KZ,1676958034
346,rock springs,41.5875,-109.2029,273.84,78,100,9.26,US,1676958035
347,geraldton,-28.7667,114.6,301.38,57,75,6.69,AU,1676958319
348,svetlyy,54.675,20.1347,279.18,87,99,11.84,RU,1676958036
349,ishigaki,24.3448,124.1572,290.22,72,75,11.83,JP,1676958036
350,huilong,31.8111,121.655,279.78,56,89,6.56,CN,1676958036
351,lambarene,-0.7001,10.2406,298.2,92,99,0.4,GA,1676958037
352,mae sai,20.4335,99.8762,303.2,37,48,2.1,TH,1676958038
353,mahajanga,-15.7167,46.3167,300.16,83,40,0.0,MG,1676958038
354,hegang,47.4,130.3667,266.16,54,40,4.92,CN,1676958039
355,kabanjahe,3.1001,98.4908,296.13,71,100,1.97,ID,1676958039
356,praia da vitoria,38.7333,-27.0667,289.13,82,40,4.84,PT,1676958040
357,inhambane,-23.865,35.3833,302.08,74,71,3.7,MZ,1676958040
358,impfondo,1.6381,18.0667,298.06,38,93,1.1,CG,1676958041
359,tupiza,-21.45,-65.7167,285.36,75,54,1.96,BO,1676958041
360,svetlogorsk,52.6333,29.7333,275.49,80,95,8.33,BY,1676958042
361,huarmey,-10.0681,-78.1522,296.14,90,96,1.14,PE,1676958042
362,tadine,-21.55,167.8833,299.57,76,33,7.62,NC,1676958043
363,baracoa,20.3467,-74.4958,297.08,85,73,2.81,CU,1676958043
364,pochutla,15.7432,-96.4661,296.38,66,83,1.96,MX,1676958044
365,waipawa,-41.4122,175.5153,293.02,75,8,3.53,NZ,1676958044
366,seka,17.9285,103.9552,304.86,26,4,1.09,TH,1676958045
367,havre,49.5833,0.3333,276.02,100,100,1.54,FR,1676958045
368,cockburn town,21.4612,-71.1419,297.93,70,1,6.48,TC,1676958046
369,moose factory,51.2585,-80.6094,239.14,75,0,1.54,CA,1676958046
370,ciudad bolivar,8.1222,-63.5497,295.8,76,87,4.27,VE,1676958047
371,tarko-sale,64.9225,77.785,254.87,90,71,3.53,RU,1676958047
372,manoel urbano,-8.8389,-69.2597,294.48,98,98,0.25,BR,1676958047
373,richards bay,-28.783,32.0377,297.34,82,24,7.75,ZA,1676958048
374,balsas,-7.5325,-46.0356,295.4,94,100,0.96,BR,1676958048
375,san patricio,28.017,-97.5169,294.2,87,27,5.86,US,1676958049
376,kintinku,-5.8833,35.2333,296.76,69,83,0.85,TZ,1676958049
377,georgetown,5.4112,100.3354,305.12,66,20,2.57,MY,1676957948
378,daru,-9.0763,143.2092,299.88,84,100,2.34,PG,1676958050
379,burnie,-41.0667,145.9167,294.79,31,0,4.24,AU,1676958050
380,nova olinda do norte,-3.8881,-59.0942,295.24,100,100,0.64,BR,1676958051
381,mogadishu,2.0371,45.3438,299.08,78,0,6.17,SO,1676958016
382,flin flon,54.7682,-101.865,246.02,99,89,2.57,CA,1676958051
383,sande,53.5049,8.0142,282.71,92,100,6.31,DE,1676958052
384,lapi,17.716,121.8978,294.37,96,100,3.5,PH,1676958052
385,dudinka,69.4058,86.1778,261.94,95,100,4.68,RU,1676958053
386,omsukchan,62.5333,155.8,240.35,98,34,1.67,RU,1676958053
387,qasigiannguit,68.8193,-51.1922,255.29,71,50,4.02,GL,1676958054
388,vezirkopru,41.1436,35.4547,273.42,76,31,1.73,TR,1676958054
389,uyuni,-20.4597,-66.825,283.39,62,69,2.13,BO,1676958055
390,pangnirtung,66.1451,-65.7125,249.56,100,100,1.48,CA,1676958055
391,camocim,-2.9022,-40.8411,296.62,86,72,3.78,BR,1676958056
392,san jose,37.3394,-121.895,286.62,67,20,2.06,US,1676957772
393,salamiyah,35.0113,37.0532,282.58,78,0,4.06,SY,1676958057
394,nuevo progreso,23.1667,-97.95,292.3,94,26,2.6,MX,1676958058
395,ferzikovo,54.5191,36.7567,266.95,96,100,4.05,RU,1676958058
396,trairi,-3.2778,-39.2689,296.75,90,72,2.6,BR,1676957906
397,vostok,46.4856,135.8833,259.14,85,100,5.05,RU,1676958059
398,lira,2.235,32.9097,299.94,27,99,4.24,UG,1676958059
399,talaya,61.3833,152.75,240.22,96,41,0.53,RU,1676958060
400,qaqortoq,60.7167,-46.0333,261.4,60,78,7.22,GL,1676958060
401,guangyuan,32.442,105.823,279.45,93,100,1.61,CN,1676958060
402,champerico,14.3,-91.9167,298.16,70,56,2.31,GT,1676958061
403,hattingen,51.4,7.1667,281.34,90,100,0.45,DE,1676958062
404,aksarka,66.5606,67.7975,252.03,99,72,2.85,RU,1676958062
405,birjand,32.8663,59.2211,282.41,40,0,2.06,IR,1676958063
